APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
3635.03786024038	1354.14022313713	2692.38843649551	2284.20992276977	1516.32205263959	3653.68187407497	4466.37670460528	5662.64679308671	5465.17310580699	4600.85067159012
3554.72283489667	1208.61516769468	2405.49196110043	2180.38093748063	1451.37413678506	3461.56397938562	4346.56184352817	5366.70371466467	5288.51627764596	4338.40331725329
3644.73198348305	1447.1354576688	2485.76913709211	2202.61233983377	1585.84023563463	3702.91102735828	4410.18078386484	5654.52502912698	5332.75042170693	4470.73384270471
3610.56223172424	1230.76532130481	2175.02323285251	2131.1948640797	1423.45901256843	3351.91739271098	4178.57119497222	5196.93580341665	5155.22321333661	4243.17453289283
3682.61602487353	1184.38544977388	2430.55951213975	2238.46795646326	1397.27097354535	3638.94968919162	4497.26239740709	5584.31088324644	5289.42179898927	4448.31739091099
3446.11006737052	1192.63756810691	1742.91326388681	1970.15751965459	1363.4289968898	3377.639337715	4195.60561393244	5169.71954085923	5146.14244708285	4196.7229893224
3733.80504259775	1321.14767026875	2251.93402026506	2129.80435743568	1444.18395404502	3487.29278370635	4287.9032007452	5455.8127028446	5251.21992588972	4345.9107326866
3767.39938438471	1551.49267329483	2097.7914555406	2566.16076865894	1523.3075492686	3528.34115044667	4423.22689521011	5481.61004603128	5384.77595787881	4675.22411914031
3704.15121545328	1556.95745277211	2017.8729777299	2643.47215242224	1582.38694784619	3416.40530298213	4385.50737949651	5344.47422092754	5492.99907734104	4631.06401800278
3754.47265847753	1355.04752248927	1993.83577925467	2134.33840040262	1514.84773676606	3565.78650746388	4367.15447018037	5419.12842305528	5341.91017760407	4422.21137372322
3552.1228213009	1262.2543413312	2011.1349174463	2162.50197992005	1359.06102810748	3247.64735250374	4106.0251362622	5161.49560374398	5040.92849942179	4288.57932601876
3374.91926747532	1220.27135548062	1959.58434310741	1926.36678521533	1227.30101479634	3135.90458297867	4062.9397392204	5201.16468835199	4945.20822555195	4093.75261525242
3428.08218632173	1744.55897452651	2142.16195046405	2742.86704958022	1660.84844088692	3458.12464534408	4264.46768585719	5372.41087201696	5257.10562871736	4616.13206776928
3736.36040609853	1384.67880527938	2269.18421317071	2274.25022428053	1559.45790056775	3622.84092275776	4484.80790115435	5645.5494018403	5339.40702068709	4572.60346191481
3617.9626277395	1666.96478083541	2263.93670866534	2903.00976264443	1792.01839272633	3564.33932317854	4487.49152380941	5512.65593648323	5454.38748134804	4700.52091327172
3907.16432808835	2481.56880321252	2694.90350030266	3393.31036045026	2306.5208590892	3865.63169347008	4580.12239524479	5750.87659525552	5793.6025693593	5085.80535601494
3844.35564012468	1388.48465397885	2355.84816228672	2202.76610410505	1439.98912835464	3500.96754691936	4385.78634225728	5573.81270596864	5353.94101610485	4620.01357697994
3510.23801601122	1308.21389391774	2191.52809829399	2311.38115079341	1375.59383441448	3502.03142341293	4273.41575840692	5277.53204299915	5127.77876860145	4371.17443310625
3694.30857766948	1387.08389103328	2122.02476051639	2134.18932656155	1539.8324342791	3410.1361420482	4317.81925518267	5546.3599580066	5288.91056942784	4426.92135296187
3861.23801797858	1653.77147323501	2237.50098571635	2392.61099084249	1694.73876138169	3693.96975898169	4494.42711645081	5575.3697505631	5389.59750927561	4696.1107905442
